,Site_code,Longitude,lattitude,total_Ixodes_Scapularis_nymphs,total_infected_ixodes_scapularis_nymphs,total_Borrelia_burgdorferi,total_Borrelia_Mayonii,total_Borrelia_miyamotoi,total_Babesia_microti,total_Ehrlichia_muris,total_Anaplasma_phagocytophilum,total_Powassan_DTV,total_coinfection_individuals,percent_infected_nymphs,percent_infection_Bb,percent_infection_Borrelia_miyamotoi,percent_infection_Borrelia_mayonii,percent_infection_Babesia_microti,percent_infection_Ehrlichia_muris,percent_infection_Anaplasma_phagocytophilum,percent_infection_Powassan_DTV,percent_total_coinfection_individuals
1,CE_10_2,-71.761,41.7588,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CE_12_1,-71.5645,41.8082,22,8,6,0,0,3,0,0,0,1,36.36363636,27.27272727,0,0,13.63636364,0,0,0,4.545454545
3,CE_12_2,-71.5036,41.8043,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CE_16_2,-71.6909,41.7189,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CE_16_3,-71.6931,41.674,29,10,8,0,0,2,0,2,0,2,34.48275862,27.5862069,0,0,6.896551724,0,6.896551724,0,6.896551724
6,CE_17_1,-71.5939,41.6503,16,1,0,0,0,0,0,1,0,0,6.25,0,0,0,0,0,6.25,0,0
7,CE_17_2,-71.5402,41.7517,85,15,11,0,0,2,0,2,0,0,17.64705882,12.94117647,0,0,2.352941176,0,2.352941176,0,0
8,CE_22_1,-71.7136,41.6244,38,14,10,0,0,2,0,3,0,1,36.84210526,26.31578947,0,0,5.263157895,0,7.894736842,0,2.631578947
9,CE_22_2,-71.7094,41.5767,39,12,8,0,0,5,0,2,0,2,30.76923077,20.51282051,0,0,12.82051282,0,5.128205128,0,5.128205128
10,CE_23_1,-71.5703,41.5898,59,18,12,0,1,4,0,4,0,3,30.50847458,20.33898305,1.694915254,0,6.779661017,0,6.779661017,0,5.084745763
11,CE_23_2,-71.5134,41.6295,182,35,26,0,4,4,0,3,0,2,19.23076923,14.28571429,2.197802198,0,2.197802198,0,1.648351648,0,1.098901099
12,NB_18_1,-71.4205,41.6969,52,8,6,0,1,1,0,1,0,1,15.38461538,11.53846154,1.923076923,0,1.923076923,0,1.923076923,0,1.923076923
13,NB_19_1,-71.3224,41.76044,4,1,0,0,0,0,0,1,0,0,25,0,0,0,0,0,25,0,0
14,NB_19_2,-71.3042,41.673,123,34,23,0,1,11,0,7,0,8,27.64227642,18.69918699,0.81300813,0,8.943089431,0,5.691056911,0,6.504065041
15,NB_8_1,-71.4372,41.8921,4,3,2,0,0,2,0,0,0,1,75,50,0,0,50,0,0,0,25
16,NO_1_1,-71.7897,41.982,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,NO_2_1,-71.6765,41.991,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NO_3_1,-71.57881,41.9798,32,7,6,0,0,3,0,0,0,2,21.875,18.75,0,0,9.375,0,0,0,6.25
19,NO_3_2,-71.5039,41.9362,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NO_4_2,-71.4501,41.9412,4,2,1,0,0,1,0,0,0,0,50,25,0,0,25,0,0,0,0
21,NO_6_2,-71.6325,41.8921,11,3,3,0,0,1,0,0,0,1,27.27272727,27.27272727,0,0,9.090909091,0,0,0,9.090909091
22,NO_7_1,-71.5884,41.8597,3,1,1,0,0,1,0,1,0,1,33.33333333,33.33333333,0,0,33.33333333,0,33.33333333,0,33.33333333
23,SB_26_1,-71.1737,41.65,63,20,16,0,0,7,0,3,0,6,31.74603175,25.3968254,0,0,11.11111111,0,4.761904762,0,9.523809524
24,SB_30_2,-71.3755,41.509,118,48,22,0,2,17,0,15,0,8,40.6779661,18.6440678,1.694915254,0,14.40677966,0,12.71186441,0,6.779661017
25,SB_37_1,-71.3535,41.4509,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,SO_27_2,-71.7786,41.5071,3,1,1,0,0,0,0,0,0,0,33.33333333,33.33333333,0,0,0,0,0,0,0
27,SO_28_3,-71.6581,41.5315,41,16,13,0,0,8,0,1,0,6,39.02439024,31.70731707,0,0,19.51219512,0,2.43902439,0,14.63414634
28,SO_29_2,-71.4809,41.8809,52,18,13,0,1,2,0,3,0,1,34.61538462,25,1.923076923,0,3.846153846,0,5.769230769,0,1.923076923
