,Site_code,Longitude,lattitude,Month,total_Ixodes_Scapularis_nymphs,total_infected_ixodes_scapularis_nymphs,total_Borrelia_burgdorferi,total_Borrelia_Mayonii,total_Borrelia_miyamotoi,total_Babesia_microti,total_Ehrlichia_muris,total_Anaplasma_phagocytophilum,total_Powassan_DTV,total_coinfection_individuals,percent_infected_nymphs,percent_infection_Bb,percent_infection_Borrelia_miyamotoi,percent_infection_Borrelia_mayonii,percent_infection_Babesia_microti,percent_infection_Ehrlichia_muris,percent_infection_Anaplasma_phagocytophilum,percent_infection_Powassan_DTV,percent_total_coinfection_individuals
1,CE_10_2,-71.761,41.7588,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CE_12_1,-71.5645,41.8082,6,17,7,5,0,0,3,0,0,0,1,41.17647059,29.41176471,0,0,17.64705882,0,0,0,5.882352941
3,CE_12_1,-71.5645,41.8082,7,5,1,1,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
4,CE_12_2,-71.5036,41.8043,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CE_16_2,-71.6909,41.7189,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CE_16_3,-71.6931,41.674,6,18,6,5,0,0,1,0,1,0,1,33.33333333,27.77777778,0,0,5.555555556,0,5.555555556,0,5.555555556
7,CE_16_3,-71.6931,41.674,7,11,4,3,0,0,1,0,1,0,1,36.36363636,27.27272727,0,0,9.090909091,0,9.090909091,0,9.090909091
8,CE_17_1,-71.5939,41.6503,6,13,1,0,0,0,0,0,1,0,0,7.692307692,0,0,0,0,0,7.692307692,0,0
9,CE_17_1,-71.5939,41.6503,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CE_17_2,-71.5402,41.7517,6,57,10,7,0,0,1,0,2,0,0,17.54385965,12.28070175,0,0,1.754385965,0,3.50877193,0,0
11,CE_17_2,-71.5402,41.7517,7,28,5,4,0,0,1,0,0,0,0,17.85714286,14.28571429,0,0,3.571428571,0,0,0,0
12,CE_22_1,-71.7136,41.6244,6,26,9,6,0,0,2,0,2,0,1,34.61538462,23.07692308,0,0,7.692307692,0,7.692307692,0,3.846153846
13,CE_22_1,-71.7136,41.6244,7,12,5,4,0,0,0,0,1,0,0,41.66666667,33.33333333,0,0,0,0,8.333333333,0,0
14,CE_22_2,-71.7094,41.5767,6,23,6,4,0,0,2,0,0,0,0,26.08695652,17.39130435,0,0,8.695652174,0,0,0,0
15,CE_22_2,-71.7094,41.5767,7,16,6,4,0,0,3,0,2,0,2,37.5,25,0,0,18.75,0,12.5,0,12.5
16,CE_23_1,-71.5703,41.5898,6,32,12,8,0,0,4,0,3,0,3,37.5,25,0,0,12.5,0,9.375,0,9.375
17,CE_23_1,-71.5703,41.5898,7,27,6,4,0,1,0,0,1,0,0,22.22222222,14.81481481,3.703703704,0,0,0,3.703703704,0,0
18,CE_23_2,-71.5134,41.6295,6,129,28,22,0,2,4,0,2,0,2,21.70542636,17.05426357,1.550387597,0,3.100775194,0,1.550387597,0,1.550387597
19,CE_23_2,-71.5134,41.6295,7,53,7,4,0,2,0,0,1,0,0,13.20754717,7.547169811,3.773584906,0,0,0,1.886792453,0,0
20,NB_18_1,-71.4205,41.6969,6,35,5,4,0,1,0,0,1,0,1,14.28571429,11.42857143,2.857142857,0,0,0,2.857142857,0,2.857142857
21,NB_18_1,-71.4205,41.6969,7,17,3,2,0,0,1,0,0,0,0,17.64705882,11.76470588,0,0,5.882352941,0,0,0,0
22,NB_19_1,-71.3224,41.76044,7,4,1,0,0,0,0,0,1,0,0,25,0,0,0,0,0,25,0,0
23,NB_19_2,-71.3042,41.673,6,67,27,17,0,1,8,0,6,0,5,40.29850746,25.37313433,1.492537313,0,11.94029851,0,8.955223881,0,7.462686567
24,NB_19_2,-71.3042,41.673,7,56,7,6,0,0,3,0,1,0,3,12.5,10.71428571,0,0,5.357142857,0,1.785714286,0,5.357142857
